CONTAINER ID   IMAGE                                  COMMAND                  CREATED        STATUS                 PORTS                                                                                                                                                                                            NAMES
ee13dd8e17f0   netdata/netdata                        "/usr/sbin/run.sh"       5 months ago   Up 11 days (healthy)   0.0.0.0:19999->19999/tcp, [::]:19999->19999/tcp                                                                                                                                                  netdata
0c5424953556   louislam/uptime-kuma:1                 "/usr/bin/dumb-init …"   5 months ago   Up 11 days (healthy)   0.0.0.0:3001->3001/tcp, [::]:3001->3001/tcp                                                                                                                                                      uptime-kuma
4512de140b58   nextcloud                              "/entrypoint.sh apac…"   5 months ago   Up 10 days             0.0.0.0:8080->80/tcp, [::]:8080->80/tcp                                                                                                                                                          nextcloud-app
2a9eef1eb2ab   mariadb:10.11                          "docker-entrypoint.s…"   5 months ago   Up 10 days             3306/tcp                                                                                                                                                                                         nextcloud-db
2e06285a8224   lissy93/dashy:latest                   "docker-entrypoint.s…"   5 months ago   Up 11 days (healthy)   0.0.0.0:8085->8080/tcp, [::]:8085->8080/tcp                                                                                                                                                      dashy
279a19f238f8   guacamole/guacamole                    "/opt/guacamole/bin/…"   5 months ago   Up 11 days             0.0.0.0:8083->8080/tcp, [::]:8083->8080/tcp                                                                                                                                                      guacamole
e808dff2c8ce   mysql:5.7                              "docker-entrypoint.s…"   5 months ago   Up 11 days             3306/tcp, 33060/tcp                                                                                                                                                                              guac-db
7ee072a7e4da   guacamole/guacd                        "/opt/guacamole/entr…"   5 months ago   Up 11 days (healthy)   4822/tcp                                                                                                                                                                                         guacd
c3d08ea6b33a   portainer/portainer-ce                 "/portainer"             5 months ago   Up 11 days             0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp, 0.0.0.0:9000->9000/tcp, [::]:9000->9000/tcp, 9443/tcp                                                                                               portainer
c33e6bf033e3   technitium/dns-server                  "/usr/bin/dotnet /op…"   5 months ago   Up 11 days             80/tcp, 67/udp, 443/tcp, 443/udp, 0.0.0.0:53->53/tcp, [::]:53->53/tcp, 853/tcp, 8053/tcp, 0.0.0.0:5380->5380/tcp, 0.0.0.0:53->53/udp, [::]:5380->5380/tcp, [::]:53->53/udp, 853/udp, 53443/tcp   technitium-dns
c4eeee4e873f   adguard/adguardhome:latest             "/opt/adguardhome/Ad…"   5 months ago   Up 11 days                                                                                                                                                                                                              adguard
c6973e6fab24   lscr.io/linuxserver/wireguard:latest   "/init"                  5 months ago   Up 11 days             0.0.0.0:47192->51820/udp, [::]:47192->51820/udp                                                                                                                                                  wireguard
